Year, Month, Rainfall total, Min, Max
2005.0,1.0,503.8,0.8,113.8,
2005.0,2.0,168.6,0.8,81.8,
2005.0,3.0,525.6,1.2,286.8,
2005.0,4.0,259.8,1.4,34.2,
2005.0,5.0,24.6,0.4,7.8,
2005.0,6.0,45.2,0.4,10.8,
2005.0,7.0,76.6,0.2,18.4,
2005.0,8.0,82.4,0.2,16.2,
2005.0,9.0,6.4,1.0,3.2,
2005.0,10.0,21.2,0.4,8.0,
2005.0,11.0,29.0,0.4,12.6,
2005.0,12.0,102.8,8.6,36.2,
2006.0,1.0,395.2,0.4,63.6,
2006.0,2.0,296.2,0.6,119.0,
2006.0,3.0,715.6,0.4,173.2,
2006.0,4.0,646.6,0.6,233.6,
2006.0,5.0,78.6,0.6,36.8,
2006.0,6.0,88.2,0.6,40.2,
2006.0,7.0,81.4,1.8,20.4,
2006.0,8.0,15.8,0.2,7.8,
2006.0,9.0,112.6,0.6,62.6,
2006.0,10.0,97.8,0.6,24.0,
2006.0,11.0,20.4,0.6,8.8,
2006.0,12.0,112.0,0.4,19.0,
2007.0,1.0,263.0,0.4,72.2,
2007.0,2.0,845.2,0.8,198.4,
2007.0,3.0,335.0,0.6,127.6,
2007.0,4.0,77.4,0.6,13.2,
2007.0,5.0,126.4,0.4,24.8,
2007.0,6.0,74.4,1.2,15.2,
2007.0,7.0,20.4,0.4,9.4,
2007.0,8.0,20.2,0.6,3.8,
2007.0,9.0,7.6,1.0,6.6,
2007.0,10.0,76.0,0.4,38.2,
2007.0,11.0,75.4,0.6,16.0,
2007.0,12.0,228.2,1.0,54.6,
2008.0,1.0,577.6,0.8,201.2,
2008.0,2.0,670.6,0.6,122.2,
2008.0,3.0,976.8,2.6,264.2,
2008.0,4.0,22.0,0.8,7.8,
2008.0,5.0,52.8,0.4,21.2,
2008.0,6.0,22.4,0.6,8.4,
2008.0,7.0,77.2,0.6,30.8,
2008.0,8.0,4.8,0.4,2.0,
2008.0,9.0,42.0,0.6,11.8,
2008.0,10.0,70.6,0.8,30.6,
2008.0,11.0,123.2,0.4,25.4,
