Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,031063,2005,01,01,5.4,1,Y
IDCJAC0009,031063,2005,01,02,4.4,1,Y
IDCJAC0009,031063,2005,01,03,3.2,1,Y
IDCJAC0009,031063,2005,01,04,0.0,,Y
IDCJAC0009,031063,2005,01,05,0.0,,Y
IDCJAC0009,031063,2005,01,06,0.0,,Y
IDCJAC0009,031063,2005,01,07,8.4,1,Y
IDCJAC0009,031063,2005,01,08,6.6,1,Y
IDCJAC0009,031063,2005,01,09,19.6,1,Y
IDCJAC0009,031063,2005,01,10,67.6,1,Y
IDCJAC0009,031063,2005,01,11,2.6,1,Y
IDCJAC0009,031063,2005,01,12,0.8,1,Y
IDCJAC0009,031063,2005,01,13,0.0,,Y
IDCJAC0009,031063,2005,01,14,0.0,,Y
IDCJAC0009,031063,2005,01,15,0.0,,Y
IDCJAC0009,031063,2005,01,16,0.0,,Y
IDCJAC0009,031063,2005,01,17,20.8,1,Y
IDCJAC0009,031063,2005,01,18,0.0,,Y
IDCJAC0009,031063,2005,01,19,6.4,1,Y
IDCJAC0009,031063,2005,01,20,91.4,1,Y
IDCJAC0009,031063,2005,01,21,31.4,1,Y
IDCJAC0009,031063,2005,01,22,113.8,1,Y
IDCJAC0009,031063,2005,01,23,19.0,1,Y
IDCJAC0009,031063,2005,01,24,1.0,1,Y
IDCJAC0009,031063,2005,01,25,10.4,1,Y
IDCJAC0009,031063,2005,01,26,1.4,1,Y
IDCJAC0009,031063,2005,01,27,25.8,1,Y
IDCJAC0009,031063,2005,01,28,2.2,1,Y
IDCJAC0009,031063,2005,01,29,0.0,,Y
IDCJAC0009,031063,2005,01,30,61.6,1,Y
IDCJAC0009,031063,2005,01,31,0.0,,Y
IDCJAC0009,031063,2005,02,01,0.0,,Y
IDCJAC0009,031063,2005,02,02,0.0,,Y
IDCJAC0009,031063,2005,02,03,0.0,,Y
IDCJAC0009,031063,2005,02,04,0.0,,Y
IDCJAC0009,031063,2005,02,05,0.0,,Y
IDCJAC0009,031063,2005,02,06,7.2,1,Y
IDCJAC0009,031063,2005,02,07,73.4,1,Y
IDCJAC0009,031063,2005,02,08,2.8,1,Y
IDCJAC0009,031063,2005,02,09,0.8,1,Y
IDCJAC0009,031063,2005,02,10,0.0,,Y
IDCJAC0009,031063,2005,02,11,0.0,,Y
IDCJAC0009,031063,2005,02,12,0.0,,Y
IDCJAC0009,031063,2005,02,13,0.0,,Y
IDCJAC0009,031063,2005,02,14,2.6,1,Y
IDCJAC0009,031063,2005,02,15,0.0,,Y
IDCJAC0009,031063,2005,02,16,81.8,1,Y
IDCJAC0009,031063,2005,02,17,0.0,,Y
IDCJAC0009,031063,2005,02,18,0.0,,Y
IDCJAC0009,031063,2005,02,19,0.0,,Y
IDCJAC0009,031063,2005,02,20,0.0,,Y
IDCJAC0009,031063,2005,02,21,0.0,,Y
IDCJAC0009,031063,2005,02,22,0.0,,Y
IDCJAC0009,031063,2005,02,23,0.0,,Y
IDCJAC0009,031063,2005,02,24,0.0,,Y
IDCJAC0009,031063,2005,02,25,0.0,,Y
IDCJAC0009,031063,2005,02,26,0.0,,Y
IDCJAC0009,031063,2005,02,27,0.0,,Y
IDCJAC0009,031063,2005,02,28,0.0,,Y
IDCJAC0009,031063,2005,03,01,2.4,1,Y
IDCJAC0009,031063,2005,03,02,5.8,1,Y
IDCJAC0009,031063,2005,03,03,8.2,1,Y
IDCJAC0009,031063,2005,03,04,8.8,1,Y
IDCJAC0009,031063,2005,03,05,0.0,,Y
IDCJAC0009,031063,2005,03,06,0.0,,Y
IDCJAC0009,031063,2005,03,07,0.0,,Y
IDCJAC0009,031063,2005,03,08,0.0,,Y
IDCJAC0009,031063,2005,03,09,1.2,1,Y
IDCJAC0009,031063,2005,03,10,17.2,1,Y
IDCJAC0009,031063,2005,03,11,8.6,1,Y
IDCJAC0009,031063,2005,03,12,286.8,1,Y
IDCJAC0009,031063,2005,03,13,66.8,1,Y
IDCJAC0009,031063,2005,03,14,3.0,1,Y
IDCJAC0009,031063,2005,03,15,,,
IDCJAC0009,031063,2005,03,16,100.2,2,Y
IDCJAC0009,031063,2005,03,17,0.0,,Y
IDCJAC0009,031063,2005,03,18,5.4,1,Y
IDCJAC0009,031063,2005,03,19,0.0,,Y
IDCJAC0009,031063,2005,03,20,0.0,,Y
IDCJAC0009,031063,2005,03,21,0.0,,Y
IDCJAC0009,031063,2005,03,22,0.0,,Y
IDCJAC0009,031063,2005,03,23,0.0,,Y
IDCJAC0009,031063,2005,03,24,0.0,,Y
IDCJAC0009,031063,2005,03,25,0.0,,Y
IDCJAC0009,031063,2005,03,26,0.0,,Y
IDCJAC0009,031063,2005,03,27,0.0,,Y
IDCJAC0009,031063,2005,03,28,10.0,1,Y
IDCJAC0009,031063,2005,03,29,0.0,,Y
IDCJAC0009,031063,2005,03,30,0.0,,Y
IDCJAC0009,031063,2005,03,31,1.2,1,Y
IDCJAC0009,031063,2005,04,01,6.6,1,Y
IDCJAC0009,031063,2005,04,02,33.8,1,Y
IDCJAC0009,031063,2005,04,03,11.6,1,Y
IDCJAC0009,031063,2005,04,04,1.4,1,Y
IDCJAC0009,031063,2005,04,05,3.8,1,Y
IDCJAC0009,031063,2005,04,06,4.2,1,Y
IDCJAC0009,031063,2005,04,07,2.8,1,Y
IDCJAC0009,031063,2005,04,08,6.6,1,Y
IDCJAC0009,031063,2005,04,09,10.0,1,Y
IDCJAC0009,031063,2005,04,10,8.4,1,Y
IDCJAC0009,031063,2005,04,11,34.2,1,Y
IDCJAC0009,031063,2005,04,12,14.4,1,Y
IDCJAC0009,031063,2005,04,13,2.4,1,Y
IDCJAC0009,031063,2005,04,14,12.0,1,Y
IDCJAC0009,031063,2005,04,15,2.8,1,Y
IDCJAC0009,031063,2005,04,16,0.0,,Y
IDCJAC0009,031063,2005,04,17,0.0,,Y
IDCJAC0009,031063,2005,04,18,4.8,1,Y
IDCJAC0009,031063,2005,04,19,0.0,,Y
IDCJAC0009,031063,2005,04,20,0.0,,Y
IDCJAC0009,031063,2005,04,21,0.0,,Y
IDCJAC0009,031063,2005,04,22,5.6,1,Y
IDCJAC0009,031063,2005,04,23,15.0,1,Y
IDCJAC0009,031063,2005,04,24,20.4,1,Y
IDCJAC0009,031063,2005,04,25,15.2,1,Y
IDCJAC0009,031063,2005,04,26,10.0,1,Y
IDCJAC0009,031063,2005,04,27,3.2,1,Y
IDCJAC0009,031063,2005,04,28,15.4,1,Y
IDCJAC0009,031063,2005,04,29,6.8,1,Y
IDCJAC0009,031063,2005,04,30,8.4,1,Y
IDCJAC0009,031063,2005,05,01,1.2,1,Y
IDCJAC0009,031063,2005,05,02,0.0,,Y
IDCJAC0009,031063,2005,05,03,0.0,,Y
IDCJAC0009,031063,2005,05,04,0.4,1,Y
IDCJAC0009,031063,2005,05,05,2.4,1,Y
IDCJAC0009,031063,2005,05,06,1.2,1,Y
IDCJAC0009,031063,2005,05,07,7.8,1,Y
IDCJAC0009,031063,2005,05,08,0.0,,Y
IDCJAC0009,031063,2005,05,09,3.6,1,Y
IDCJAC0009,031063,2005,05,10,0.0,,Y
IDCJAC0009,031063,2005,05,11,3.4,1,Y
IDCJAC0009,031063,2005,05,12,0.4,1,Y
IDCJAC0009,031063,2005,05,13,0.0,,Y
IDCJAC0009,031063,2005,05,14,0.0,,Y
