Quality,Day,Product code,Year,Period over which rainfall was measured (days),Bureau of Meteorology station number,Rainfall amount (millimetres),Month
Y,1,IDCJAC0009,2005,1,31063,5.4,1
Y,2,IDCJAC0009,2005,1,31063,4.4,1
Y,3,IDCJAC0009,2005,1,31063,3.2,1
Y,4,IDCJAC0009,2005,,31063,0,1
Y,5,IDCJAC0009,2005,,31063,0,1
Y,6,IDCJAC0009,2005,,31063,0,1
Y,7,IDCJAC0009,2005,1,31063,8.4,1
Y,8,IDCJAC0009,2005,1,31063,6.6,1
Y,9,IDCJAC0009,2005,1,31063,19.6,1
Y,10,IDCJAC0009,2005,1,31063,67.6,1
Y,11,IDCJAC0009,2005,1,31063,2.6,1
Y,12,IDCJAC0009,2005,1,31063,0.8,1
Y,13,IDCJAC0009,2005,,31063,0,1
Y,14,IDCJAC0009,2005,,31063,0,1
Y,15,IDCJAC0009,2005,,31063,0,1
Y,16,IDCJAC0009,2005,,31063,0,1
Y,17,IDCJAC0009,2005,1,31063,20.8,1
Y,18,IDCJAC0009,2005,,31063,0,1
Y,19,IDCJAC0009,2005,1,31063,6.4,1
Y,20,IDCJAC0009,2005,1,31063,91.4,1
Y,21,IDCJAC0009,2005,1,31063,31.4,1
Y,22,IDCJAC0009,2005,1,31063,113.8,1
Y,23,IDCJAC0009,2005,1,31063,19,1
Y,24,IDCJAC0009,2005,1,31063,1,1
Y,25,IDCJAC0009,2005,1,31063,10.4,1
Y,26,IDCJAC0009,2005,1,31063,1.4,1
Y,27,IDCJAC0009,2005,1,31063,25.8,1
Y,28,IDCJAC0009,2005,1,31063,2.2,1
Y,29,IDCJAC0009,2005,,31063,0,1
Y,30,IDCJAC0009,2005,1,31063,61.6,1
Y,31,IDCJAC0009,2005,,31063,0,1
Y,1,IDCJAC0009,2005,,31063,0,2
Y,2,IDCJAC0009,2005,,31063,0,2
Y,3,IDCJAC0009,2005,,31063,0,2
Y,4,IDCJAC0009,2005,,31063,0,2
Y,5,IDCJAC0009,2005,,31063,0,2
Y,6,IDCJAC0009,2005,1,31063,7.2,2
Y,7,IDCJAC0009,2005,1,31063,73.4,2
Y,8,IDCJAC0009,2005,1,31063,2.8,2
Y,9,IDCJAC0009,2005,1,31063,0.8,2
Y,10,IDCJAC0009,2005,,31063,0,2
Y,11,IDCJAC0009,2005,,31063,0,2
Y,12,IDCJAC0009,2005,,31063,0,2
Y,13,IDCJAC0009,2005,,31063,0,2
Y,14,IDCJAC0009,2005,1,31063,2.6,2
Y,15,IDCJAC0009,2005,,31063,0,2
Y,16,IDCJAC0009,2005,1,31063,81.8,2
Y,17,IDCJAC0009,2005,,31063,0,2
Y,18,IDCJAC0009,2005,,31063,0,2
Y,19,IDCJAC0009,2005,,31063,0,2
Y,20,IDCJAC0009,2005,,31063,0,2
Y,21,IDCJAC0009,2005,,31063,0,2
Y,22,IDCJAC0009,2005,,31063,0,2
Y,23,IDCJAC0009,2005,,31063,0,2
Y,24,IDCJAC0009,2005,,31063,0,2
Y,25,IDCJAC0009,2005,,31063,0,2
Y,26,IDCJAC0009,2005,,31063,0,2
Y,27,IDCJAC0009,2005,,31063,0,2
Y,28,IDCJAC0009,2005,,31063,0,2
Y,1,IDCJAC0009,2005,1,31063,2.4,3
Y,2,IDCJAC0009,2005,1,31063,5.8,3
Y,3,IDCJAC0009,2005,1,31063,8.2,3
Y,4,IDCJAC0009,2005,1,31063,8.8,3
Y,5,IDCJAC0009,2005,,31063,0,3
Y,6,IDCJAC0009,2005,,31063,0,3
Y,7,IDCJAC0009,2005,,31063,0,3
Y,8,IDCJAC0009,2005,,31063,0,3
Y,9,IDCJAC0009,2005,1,31063,1.2,3
Y,10,IDCJAC0009,2005,1,31063,17.2,3
Y,11,IDCJAC0009,2005,1,31063,8.6,3
Y,12,IDCJAC0009,2005,1,31063,286.8,3
Y,13,IDCJAC0009,2005,1,31063,66.8,3
Y,14,IDCJAC0009,2005,1,31063,3,3
,15,IDCJAC0009,2005,,31063,,3
,16,IDCJAC0009,2005,2,31063,100.2,3
,17,IDCJAC0009,2005,,31063,0,3
,18,IDCJAC0009,2005,1,31063,5.4,3
,19,IDCJAC0009,2005,,31063,0,3
,20,IDCJAC0009,2005,,31063,0,3
,21,IDCJAC0009,2005,,31063,0,3
,22,IDCJAC0009,2005,,31063,0,3
,23,IDCJAC0009,2005,,31063,0,3
,24,IDCJAC0009,2005,,31063,0,3
,25,IDCJAC0009,2005,,31063,0,3
,26,IDCJAC0009,2005,,31063,0,3
,27,IDCJAC0009,2005,,31063,0,3
,28,IDCJAC0009,2005,1,31063,10,3
,29,IDCJAC0009,2005,,31063,0,3
,30,IDCJAC0009,2005,,31063,0,3
,31,IDCJAC0009,2005,1,31063,1.2,3
,1,IDCJAC0009,2005,1,31063,6.6,4
,2,IDCJAC0009,2005,1,31063,33.8,4
,3,IDCJAC0009,2005,1,31063,11.6,4
,4,IDCJAC0009,2005,1,31063,1.4,4
,5,IDCJAC0009,2005,1,31063,3.8,4
,6,IDCJAC0009,2005,1,31063,4.2,4
,7,IDCJAC0009,2005,1,31063,2.8,4
,8,IDCJAC0009,2005,1,31063,6.6,4
,9,IDCJAC0009,2005,1,31063,10,4
,10,IDCJAC0009,2005,1,31063,8.4,4
,11,IDCJAC0009,2005,1,31063,34.2,4
,12,IDCJAC0009,2005,1,31063,14.4,4
,13,IDCJAC0009,2005,1,31063,2.4,4
,14,IDCJAC0009,2005,1,31063,12,4
,15,IDCJAC0009,2005,1,31063,2.8,4
,16,IDCJAC0009,2005,,31063,0,4
,17,IDCJAC0009,2005,,31063,0,4
,18,IDCJAC0009,2005,1,31063,4.8,4
,19,IDCJAC0009,2005,,31063,0,4
,20,IDCJAC0009,2005,,31063,0,4
